authors,original_publication_year,original_title,title,average_rating,ratings_count,image_url,small_image_url,goodreads_book_id,best_book_id,work_id,books_count,isbn,isbn13,book_id,work_ratings_count
Sandra Brown,2015,Friction,Friction,3.93,9969,https://images.gr-assets.com/books/1434044640m/25114548.jpg,https://images.gr-assets.com/books/1434044640s/25114548.jpg,10572,10572,3272005,202,553381695,9.78E+12,110,15167
Toni Morrison,1981,Tar Baby,Tar Baby,3.91,13951,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,10441,10441,2868431,98,143037145,9.78E+12,111,14602
"John Foxe, W. Grinton Berry",1563,Foxe's Book of Martyrs,Foxe's Book of Martyrs,4.25,12117,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,15507958,15507958,17763198,168,670026603,9.78E+12,112,13581
J.G. Ballard,1973,Crash,Crash,3.58,13217,https://images.gr-assets.com/books/1281416649m/70241.jpg,https://images.gr-assets.com/books/1281416649s/70241.jpg,168668,168668,814330,251,684833395,9.78E+12,113,15187
"Arturo Pérez-Reverte, Margaret Jull Costa",1990,La tabla de Flandes,The Flanders Panel,3.8,11868,https://images.gr-assets.com/books/1328874807m/11031.jpg,https://images.gr-assets.com/books/1328874807s/11031.jpg,6900,6900,1995335,172,751529818,9.78E+12,114,14855
"Howard Schultz, Joanne Gordon",2007,Onward: How Starbucks Fought for Its Life without Losing Its Soul,Onward: How Starbucks Fought for Its Life without Losing Its Soul,3.79,11119,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2187,2187,1352495,125,312422156,9.78E+12,115,12140
"Eric Schmidt, Jonathan Rosenberg",2014,How Google Works,How Google Works,4.03,11703,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,24583,24583,41326609,2448,143039563,9.78E+12,116,13299
"Nancy E. Shaw, Margot Apple",1986,Sheep in a Jeep,Sheep in a Jeep,4.11,13788,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,18131,18131,948387,165,440498058,9.78E+12,117,14252
Drew Barrymore,2015,,Wildflower,3.56,12855,https://images.gr-assets.com/books/1446537126m/25065522.jpg,https://images.gr-assets.com/books/1446537126s/25065522.jpg,7763,7763,1955658,126,143038095,9.78E+12,118,14574
A.M. Homes,2012,May We Be Forgiven,May We Be Forgiven,3.66,7545,https://images.gr-assets.com/books/1349221581m/16061734.jpg,https://images.gr-assets.com/books/1349221581s/16061734.jpg,38447,38447,1119185,236,038549081X,9.78E+12,119,11953
Joe Hart,2016,,"The Last Girl (The Dominion Trilogy, #1)",3.77,14487,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,452306,452306,1058370,93,385729332,9.78E+12,120,15006
Victoria Helen Stone,2016,"Evelyn, After","Evelyn, After",3.64,9255,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,7604,7604,1268631,370,,,121,14969
Django Wexler,2013,The Thousand Names,"The Thousand Names (The Shadow Campaigns, #1)",4.04,9926,https://images.gr-assets.com/books/1355441268m/15810910.jpg,https://images.gr-assets.com/books/1355441268s/15810910.jpg,37442,37442,1479280,80,60987103,9.78E+12,122,11806
"James Rollins, Rebecca Cantrell",2013,The Blood Gospel: The Order of the Sanguines Series,"The Blood Gospel (The Order of the Sanguines, #1)",3.97,10424,https://images.gr-assets.com/books/1357605320m/15818164.jpg,https://images.gr-assets.com/books/1357605320s/15818164.jpg,5358,5358,38270,11,582418275,9.78E+12,123,12609
Kate Clifford Larson,2015,Rosemary: The Hidden Kennedy Daughter,Rosemary: The Hidden Kennedy Daughter,3.78,9819,https://images.gr-assets.com/books/1439253720m/23719479.jpg,https://images.gr-assets.com/books/1439253720s/23719479.jpg,7937843,7937843,9585076,151,316098337,9.78E+12,124,12735
James Redfield,1996,The Tenth Insight ,"The Tenth Insight: Holding the Vision (Celestine Prophecy, #2)",3.61,8795,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1420,1420,1885548,1929,521618746,9.78E+12,125,9485
Jessica Verday,2010,The Haunted,"The Haunted (The Hollow, #2)",4.15,12890,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,234225,234225,3634639,241,340839937,9.78E+12,126,13480
"Roderick Gordon, Brian  Williams",2007,Tunnels,"Tunnels (Tunnels, #1)",3.57,11678,https://images.gr-assets.com/books/1320969639m/1175893.jpg,https://images.gr-assets.com/books/1320969639s/1175893.jpg,2612,2612,2124255,100,316346624,9.78E+12,127,13324
Jennifer Rush,2013,Altered,"Altered (Altered, #1)",4.04,15692,https://images.gr-assets.com/books/1344445982m/10859509.jpg,https://images.gr-assets.com/books/1344445982s/10859509.jpg,11084145,11084145,16005831,190,1451648537,9.78E+12,128,16988
"Penelope Douglas, Jeremy York, Tatiana Sokolov",2015,,"Corrupt (Devil's Night, #1)",4.04,13760,https://images.gr-assets.com/books/1398947518m/21981841.jpg,https://images.gr-assets.com/books/1398947518s/21981841.jpg,332613,332613,2100252,275,451163966,9.78E+12,129,16686
Nicholas Sparks,2008,The Last Song,The Last Song,4.14,424637,https://images.gr-assets.com/books/1286549186m/6400090.jpg,https://images.gr-assets.com/books/1286549186s/6400090.jpg,2165,2165,69741,666,684830493,9.78E+12,130,438429
Dan Brown,1998,Digital Fortress,Digital Fortress,3.6,423019,https://images.gr-assets.com/books/1360095966m/11125.jpg,https://images.gr-assets.com/books/1360095966s/11125.jpg,4395,18114322,2931549,381,142000663,9.78E+12,131,447503
Stephen King,1987,Misery,Misery,4.11,334647,https://images.gr-assets.com/books/1270545451m/10614.jpg,https://images.gr-assets.com/books/1270545451s/10614.jpg,3431,3431,2561472,123,1401308589,9.78E+12,132,352203
Stephen King,1975,Salem's Lot,'Salem's Lot,3.99,228680,https://images.gr-assets.com/books/1327891565m/11590.jpg,https://images.gr-assets.com/books/1327891565s/11590.jpg,8127,8127,3464264,1314,451528824,9.78E+12,133,246360
Edgar Allan Poe,1843,The Tell-Tale Heart,The Tell-Tale Heart and Other Writings,4.15,195689,https://images.gr-assets.com/books/1327936583m/391729.jpg,https://images.gr-assets.com/books/1327936583s/391729.jpg,3777732,3777732,3443248,122,1416914307,9.78E+12,134,197636
"Robert Kirkman, Tony Moore",2004,"The Walking Dead, Vol. 1: Days Gone Bye","The Walking Dead, Vol. 01: Days Gone Bye",4.3,164530,https://images.gr-assets.com/books/1389233242m/138398.jpg,https://images.gr-assets.com/books/1389233242s/138398.jpg,62291,62291,1164465,175,055357342X,9.78E+12,135,167805
Charlaine Harris,2003,Club Dead,"Club Dead (Sookie Stackhouse, #3)",4.03,181323,https://images.gr-assets.com/books/1329501590m/140082.jpg,https://images.gr-assets.com/books/1329501590s/140082.jpg,137791,137791,1010054,75,006075995X,9.78E+12,136,197558
"Robert Munsch, Sheila McGraw",1986,Love You Forever,Love You Forever,4.34,159703,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,10964,10964,2489796,189,440242940,9.78E+12,137,162007
Kate Morton,2008,The Forgotten Garden,The Forgotten Garden,4.12,138377,https://images.gr-assets.com/books/1455283767m/3407877.jpg,https://images.gr-assets.com/books/1455283767s/3407877.jpg,12296,12296,4925227,1579,142437263,9.78E+12,138,157088
"Jon Scieszka, Lane Smith",1989,The True Story of the Three Little Pigs,The True Story of the 3 Little Pigs,4.29,141945,https://images.gr-assets.com/books/1327884731m/125507.jpg,https://images.gr-assets.com/books/1327884731s/125507.jpg,9460487,9460487,14345371,155,1594744769,9.78E+12,139,144093
Ludwig Bemelmans,1939,Mad About Madeline,Madeline,4.22,156726,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,6892870,6892870,12883496,193,030726999X,9.78E+12,140,158318
"Jonas Jonasson, Rod Bradbury",2009,Hundraåringen som klev ut genom fönstret och försvann,The Hundred-Year-Old Man Who Climbed Out of the Window and Disappeared,3.81,92275,https://images.gr-assets.com/books/1334848488m/13486632.jpg,https://images.gr-assets.com/books/1334848488s/13486632.jpg,18007564,18007564,21825181,148,804139024,9.78E+12,141,137865
"Richard Bachman, Stephen King",1984,Thinner,Thinner,3.66,130219,https://images.gr-assets.com/books/1346947063m/10605.jpg,https://images.gr-assets.com/books/1346947063s/10605.jpg,5043,5043,3359698,255,451207149,9.78E+12,142,136473
"Stephen King, John D. MacDonald",1978,Night Shift,Night Shift,3.96,104248,https://images.gr-assets.com/books/1342215309m/10628.jpg,https://images.gr-assets.com/books/1342215309s/10628.jpg,18143977,18143977,25491300,139,1476746583,9.78E+12,143,112357
Sylvia Nasar,1998,A Beautiful Mind,A Beautiful Mind,4.12,98276,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,8664353,8664353,12946965,16,1400064163,9.78E+12,144,100629
"Vincent Bugliosi, Curt Gentry",1974,Helter Skelter: The True Story of The Manson Murders,Helter Skelter: The True Story of the Manson Murders,4,92158,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,976,976,3135896,180,671027387,9.78E+12,145,94919
Chelsea Handler,2004,My Horizontal Life: A Collection of One-Night Stands,My Horizontal Life: A Collection of One-Night Stands,3.79,83607,https://images.gr-assets.com/books/1388631721m/35982.jpg,https://images.gr-assets.com/books/1388631721s/35982.jpg,17333223,17333223,24065147,108,316055433,9.78E+12,146,89257
Tess Gerritsen,2001,The Surgeon,"The Surgeon (Rizzoli & Isles, #1)",4.1,89468,https://images.gr-assets.com/books/1277923728m/32263.jpg,https://images.gr-assets.com/books/1277923728s/32263.jpg,1217100,29844228,2588213,150,1595141715,9.78E+12,147,98297
Kurt Vonnegut Jr.,1959,The Sirens of Titan,The Sirens of Titan,4.16,72493,https://images.gr-assets.com/books/1419363185m/4982.jpg,https://images.gr-assets.com/books/1419363185s/4982.jpg,2865,2865,3358875,169,452287022,9.78E+12,148,83867
David    Allen,2001,Getting Things Done: How To Achieve Stress-free Productivity,Getting Things Done: The Art of Stress-Free Productivity,3.98,75665,https://images.gr-assets.com/books/1312474060m/1633.jpg,https://images.gr-assets.com/books/1312474060s/1633.jpg,4374400,4374400,4422413,130,525421033,9.78E+12,149,82166
Chetan Bhagat,2004,Five Point Someone: What Not to Do at IIT,Five Point Someone,3.43,67438,https://images.gr-assets.com/books/1298571209m/105576.jpg,https://images.gr-assets.com/books/1298571209s/105576.jpg,4989,4989,1041558,80,312353766,9.78E+12,150,69052
E.L. James,2015,Grey,"Grey (Fifty Shades, #4)",3.76,75320,https://images.gr-assets.com/books/1433182986m/25644601.jpg,https://images.gr-assets.com/books/1433182986s/25644601.jpg,28186,28186,43554,121,786856866,9.78E+12,151,104752
Ursula Hegi,1994,Stones from the River,Stones from the River,4.07,80056,https://images.gr-assets.com/books/1366513909m/77163.jpg,https://images.gr-assets.com/books/1366513909s/77163.jpg,5526,5526,3222389,111,446528056,9.78E+12,152,81284
Stephen King,1990,Four Past Midnight,Four Past Midnight ,3.9,76376,https://images.gr-assets.com/books/1321023197m/133266.jpg,https://images.gr-assets.com/books/1321023197s/133266.jpg,1582996,1582996,1575860,125,1416914293,9.78E+12,153,81902
Kelley Armstrong,2010,The Reckoning,"The Reckoning (Darkest Powers, #3)",4.21,92922,https://images.gr-assets.com/books/1327154591m/6468666.jpg,https://images.gr-assets.com/books/1327154591s/6468666.jpg,8852,8852,1896522,1732,743477103,9.78E+12,154,96809
David Benioff,2008,City of Thieves,City of Thieves,4.28,68063,https://images.gr-assets.com/books/1392015757m/1971304.jpg,https://images.gr-assets.com/books/1392015757s/1971304.jpg,15241,15241,2963845,453,618346260,9.78E+12,155,77915
Keith Richards,2010,Life,Life,3.84,60409,https://images.gr-assets.com/books/1327960451m/9439303.jpg,https://images.gr-assets.com/books/1327960451s/9439303.jpg,42156,42156,1789440,65,031232118X,9.78E+12,156,65971
Terry Pratchett,1992,Small Gods,"Small Gods (Discworld, #13)",4.27,72588,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,23772,23772,86934,72,394800168,9.78E+12,157,81526
Art Spiegelman,1986,The Complete Maus,"The Complete Maus (Maus, #1-2)",4.53,76785,https://images.gr-assets.com/books/1327354180m/15195.jpg,https://images.gr-assets.com/books/1327354180s/15195.jpg,6310,6310,2765786,338,142403881,9.78E+12,158,84323
"Faye Perozich, Anne Rice, John Bolton, Daerick Gröss",1989,Anne Rice's The Vampire Lestat: The Graphic Novel,Anne Rice's The Vampire Lestat: A Graphic Novel,4.17,61842,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2120932,2120932,2377629,92,1423101464,9.78E+12,159,61903
Kristin Hannah,2009,Winter Garden,Winter Garden,4.13,66577,https://images.gr-assets.com/books/1265932201m/6668467.jpg,https://images.gr-assets.com/books/1265932201s/6668467.jpg,2623,2623,2612809,1725,192833596,9.78E+12,160,74715
Veronica Rossi,2011,Under the Never Sky,"Under the Never Sky (Under the Never Sky, #1)",4.01,74029,https://images.gr-assets.com/books/1356591725m/11594257.jpg,https://images.gr-assets.com/books/1356591725s/11594257.jpg,18512,18512,2964424,470,345339738,9.78E+12,161,94313
Audrey Niffenegger,2009,Her Fearful Symmetry,Her Fearful Symmetry,3.23,63737,https://images.gr-assets.com/books/1327939087m/6202342.jpg,https://images.gr-assets.com/books/1327939087s/6202342.jpg,49552,49552,3324344,675,,,162,79116
Colleen Hoover,2015,,Confess,4.25,72611,https://images.gr-assets.com/books/1412280173m/22609310.jpg,https://images.gr-assets.com/books/1412280173s/22609310.jpg,7736182,7736182,10107891,72,142311339X,9.78E+12,163,86860
"Jane Hamilton, Frank  Muller, C.J. Critt",1992,A Map of the World,A Map of the World,3.78,61347,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,15745753,15745753,17225055,103,1250012570,9.78E+12,164,62109
James A. Michener,1959,Hawaii,Hawaii,4.18,59963,https://images.gr-assets.com/books/1415585664m/12658.jpg,https://images.gr-assets.com/books/1415585664s/12658.jpg,13497,13497,1019062,176,055358202X,9.78E+12,165,61648
Frank Herbert,1977,The Great Dune Trilogy,The Great Dune Trilogy  ,4.35,51454,https://images.gr-assets.com/books/1419962914m/53764.jpg,https://images.gr-assets.com/books/1419962914s/53764.jpg,7735333,7735333,9631645,84,525423648,9.78E+12,166,52082
