book_id,goodreads_book_id,authors,original_publication_year,original_title,title,average_rating,ratings_count,image_url
87,370493,"Elie Wiesel, Marion Wiesel",1958,Un di Velt Hot Geshvign,Night (The Night Trilogy #1),4.3,691231,https://images.gr-assets.com/books/1473495285m/1617.jpg
88,32542,John Green,2008,Paper Towns,Paper Towns,3.88,461311,https://images.gr-assets.com/books/1349013610m/6442769.jpg
89,1617,William Goldman,1973,The Princess Bride,The Princess Bride ,4.25,628637,https://images.gr-assets.com/books/1327903636m/21787.jpg
90,6442769,S.E. Hinton,1967,The Outsiders,The Outsiders,4.06,659248,https://images.gr-assets.com/books/1442129426m/231804.jpg
91,21787,James Dashner,2009,The Maze Runner,"The Maze Runner (Maze Runner, #1)",4.02,719925,https://images.gr-assets.com/books/1375596592m/6186357.jpg
92,231804,"Steven D. Levitt, Stephen J. Dubner",2005,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",3.93,524191,https://images.gr-assets.com/books/1327909092m/1202.jpg
93,6186357,Frances Hodgson Burnett,1911,The Secret Garden,The Secret Garden,4.12,639357,https://images.gr-assets.com/books/1327873635m/2998.jpg
94,1202,"Gabriel García Márquez, Gregory Rabassa",1967,Cien años de soledad,One Hundred Years of Solitude,4.04,490565,https://images.gr-assets.com/books/1327881361m/320.jpg
95,2998,"Oscar Wilde, Jeffrey Eugenides",1891,The Picture of Dorian Gray,The Picture of Dorian Gray,4.06,590014,https://images.gr-assets.com/books/1424596966m/5297.jpg
96,320,E.L. James,2012,Fifty Shades Freed,"Fifty Shades Freed (Fifty Shades, #3)",3.88,387290,https://images.gr-assets.com/books/1336418837m/13536860.jpg
97,5297,"Bram Stoker, Nina Auerbach, David J. Skal",1897,Dracula,Dracula,3.98,618973,https://images.gr-assets.com/books/1387151694m/17245.jpg
98,13536860,"Stieg Larsson, Reg Keeland",2006,Flickan som lekte med elden,"The Girl Who Played with Fire (Millennium, #2)",4.22,563994,https://images.gr-assets.com/books/1351778881m/5060378.jpg
99,17245,E.L. James,2011,Fifty Shades Darker,"Fifty Shades Darker (Fifty Shades, #2)",3.87,552059,https://images.gr-assets.com/books/1358266080m/11857408.jpg
100,5060378,Barbara Kingsolver,1998,The Poisonwood Bible,The Poisonwood Bible,4.02,546502,https://images.gr-assets.com/books/1412242487m/7244.jpg
101,11857408,David Sedaris,2000,Me Talk Pretty One Day,Me Talk Pretty One Day,3.97,495736,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
102,7244,Maurice Sendak,1963,Where the Wild Things Are,Where the Wild Things Are,4.22,620618,https://images.gr-assets.com/books/1384434560m/19543.jpg
103,4137,"Alexandre Dumas, Robin Buss",1844,Le Comte de Monte-Cristo,The Count of Monte Cristo,4.21,555822,https://images.gr-assets.com/books/1309203605m/7126.jpg
104,19543,Cormac McCarthy,2006,The Road,The Road,3.95,504793,https://images.gr-assets.com/books/1439197219m/6288.jpg
105,7126,Veronica Roth,2013,Allegiant,"Allegiant (Divergent, #3)",3.63,463257,https://images.gr-assets.com/books/1395582745m/18710190.jpg
106,6288,Tina Fey,2011,Bossypants,Bossypants,3.94,506250,https://images.gr-assets.com/books/1481509554m/9418327.jpg
107,18710190,Nicholas Sparks,1999,A Walk to Remember,A Walk to Remember,4.15,546948,https://images.gr-assets.com/books/1385738968m/3473.jpg
108,9418327,Sophie Kinsella,2000,Confessions of a Shopaholic,"Confessions of a Shopaholic (Shopaholic, #1)",3.61,543658,https://images.gr-assets.com/books/1327872404m/9416.jpg
109,3473,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862,Les Misérables,Les Misérables,4.14,513407,https://images.gr-assets.com/books/1411852091m/24280.jpg
110,9416,George R.R. Martin,1998,A Clash of Kings,"A Clash of Kings  (A Song of Ice and Fire, #2)",4.4,523303,https://images.gr-assets.com/books/1358254974m/10572.jpg
111,24280,Kim Edwards,2005,The Memory Keeper's Daughter,The Memory Keeper's Daughter,3.64,501430,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
112,10572,Jojo Moyes,2012,Me Before You,"Me Before You (Me Before You, #1)",4.27,587647,https://images.gr-assets.com/books/1357108762m/15507958.jpg
113,10441,Joseph Heller,1961,Catch-22,Catch-22,3.98,563265,https://images.gr-assets.com/books/1463157317m/168668.jpg
114,15507958,"Mitch Albom, Saulius Dagys",1997,Tuesdays with Morrie,Tuesdays with Morrie,4.06,556518,https://images.gr-assets.com/books/1423763749m/6900.jpg
115,168668,Jeffrey Eugenides,2002,Middlesex,Middlesex,3.98,488243,https://images.gr-assets.com/books/1437029776m/2187.jpg
116,6900,"Mark Twain, Guy Cardwell, John Seelye",1876,The Adventures of Tom Sawyer,The Adventures of Tom Sawyer,3.89,555359,https://images.gr-assets.com/books/1404811979m/24583.jpg
117,2187,Madeleine L'Engle,1962,A Wrinkle in Time,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",4.04,615907,https://images.gr-assets.com/books/1329061522m/18131.jpg
118,24583,Amy Tan,1989,The Joy Luck Club,The Joy Luck Club,3.9,515090,https://images.gr-assets.com/books/1304978653m/7763.jpg
119,18131,Margaret Atwood,1985,The Handmaid's Tale,The Handmaid's Tale,4.06,607889,https://images.gr-assets.com/books/1498057733m/38447.jpg
120,7763,Ann Brashares,2001,The Sisterhood of the Traveling Pants,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",3.75,525706,https://images.gr-assets.com/books/1461611233m/452306.jpg
121,38447,"Vladimir Nabokov, Craig Raine",1955,Lolita,Lolita,3.88,469836,https://images.gr-assets.com/books/1377756377m/7604.jpg
122,452306,"Gregory Maguire, Douglas Smith",1995,Wicked: The Life and Times of the Wicked Witch of the West,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",3.52,506900,https://images.gr-assets.com/books/1437733293m/37442.jpg
123,7604,John Grisham,1991,The Firm,"The Firm (Penguin Readers, Level 5)",3.99,488269,https://images.gr-assets.com/books/1418465200m/5358.jpg
124,37442,Emma Donoghue,2010,Room,Room,4.03,511360,https://images.gr-assets.com/books/1344265419m/7937843.jpg
125,5358,"William Shakespeare, Richard Andrews, Rex Gibson",1600,"The Tragicall Historie of Hamlet, Prince of Denmark",Hamlet,4,515820,https://images.gr-assets.com/books/1351051208m/1420.jpg
126,7937843,Frank Herbert,1965,Dune,Dune (Dune Chronicles #1),4.19,485032,https://images.gr-assets.com/books/1434908555m/234225.jpg
127,1420,Malcolm Gladwell,2000,The Tipping Point: How Little Things Can Make a Big Difference,The Tipping Point: How Little Things Can Make a Big Difference,3.92,490504,https://images.gr-assets.com/books/1473396980m/2612.jpg
128,234225,Walter Isaacson,2011,Steve Jobs,Steve Jobs,4.09,560715,https://images.gr-assets.com/books/1327861368m/11084145.jpg
129,2612,Ken Kesey,1962,One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,4.18,491642,https://images.gr-assets.com/books/1485308778m/332613.jpg
130,11084145,Ernest Hemingway,1952,The Old Man and the Sea,The Old Man and the Sea,3.73,520630,https://images.gr-assets.com/books/1329189714m/2165.jpg
131,332613,John Steinbeck,1939,The Grapes of Wrath,The Grapes of Wrath,3.92,322321,https://images.gr-assets.com/books/1352912927m/4395.jpg
132,2165,Mitch Albom,2003,The Five People You Meet in Heaven,The Five People You Meet in Heaven,3.9,449501,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
133,4395,L.M. Montgomery,1908,Anne of Green Gables,"Anne of Green Gables (Anne of Green Gables, #1)",4.23,502247,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
134,3431,Cassandra Clare,2009,City of Glass,"City of Glass (The Mortal Instruments, #3)",4.34,593173,https://images.gr-assets.com/books/1369452339m/3777732.jpg
135,8127,George R.R. Martin,2000,A Storm of Swords,"A Storm of Swords (A Song of Ice and Fire, #3)",4.54,469022,https://images.gr-assets.com/books/1497931121m/62291.jpg
136,3777732,Rebecca Wells,1996,Divine Secrets of the Ya-Ya Sisterhood,Divine Secrets of the Ya-Ya Sisterhood,3.79,465676,https://images.gr-assets.com/books/1408313524m/137791.jpg
137,62291,Diana Gabaldon,1991,Outlander,"Outlander (Outlander, #1)",4.2,515547,https://images.gr-assets.com/books/1402600310m/10964.jpg
138,137791,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850,The Scarlet Letter,The Scarlet Letter,3.37,509883,https://images.gr-assets.com/books/1404810944m/12296.jpg
139,10964,Ransom Riggs,2011,Miss Peregrine’s Home for Peculiar Children,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",3.89,613674,https://images.gr-assets.com/books/1472782916m/9460487.jpg
140,12296,"Stieg Larsson, Reg Keeland",2007,Luftslottet som sprängdes,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",4.2,443951,https://images.gr-assets.com/books/1327708260m/6892870.jpg
141,9460487,Andy Weir,2012,The Martian,The Martian,4.39,423344,https://images.gr-assets.com/books/1413706054m/18007564.jpg
142,6892870,Ken Follett,1989,The Pillars of the Earth,"The Pillars of the Earth (The Kingsbridge Series, #1)",4.29,462517,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
143,18007564,Anthony Doerr,2014,,All the Light We Cannot See,4.31,470001,https://images.gr-assets.com/books/1451445646m/18143977.jpg
144,5043,Laura Hillenbrand,2010,"Unbroken: A World War II Story of Survival, Resilience, and Redemption","Unbroken: A World War II Story of Survival, Resilience, and Redemption",4.4,487775,https://images.gr-assets.com/books/1327861115m/8664353.jpg
145,18143977,Dan Brown,2001,Deception Point,Deception Point,3.67,455610,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
146,8664353,Donna Tartt,2013,The Goldfinch,The Goldfinch,3.87,396756,https://images.gr-assets.com/books/1451554970m/17333223.jpg
147,976,Jay Asher,2007,Thirteen Reasons Why,Thirteen Reasons Why,4.02,463783,https://images.gr-assets.com/books/1333822506m/1217100.jpg
148,17333223,Tracy Chevalier,1999,Girl with a Pearl Earring,Girl with a Pearl Earring,3.85,467577,https://images.gr-assets.com/books/1327197580m/2865.jpg
149,1217100,Gayle Forman,2009,If I Stay,"If I Stay (If I Stay, #1)",3.96,503527,https://images.gr-assets.com/books/1347462970m/4374400.jpg
150,2865,Anita Diamant,1997,The Red Tent,The Red Tent,4.16,424981,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
151,4374400,Rick Riordan,2006,The Sea of Monsters,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",4.23,514932,https://images.gr-assets.com/books/1400602661m/28186.jpg
152,4989,Nicholas Sparks,2006,Dear John,Dear John,4.01,441062,https://images.gr-assets.com/books/1397749854m/5526.jpg
153,28186,Cassandra Clare,2008,City of Ashes,"City of Ashes (The Mortal Instruments, #2)",4.21,541117,https://images.gr-assets.com/books/1432730356m/1582996.jpg
154,5526,William Shakespeare,1606,The Tragedy of Macbeth,Macbeth,3.88,496018,https://images.gr-assets.com/books/1459795224m/8852.jpg
155,1582996,J.R.R. Tolkien,1954,The Two Towers,"The Two Towers (The Lord of the Rings, #2)",4.42,480446,https://images.gr-assets.com/books/1298415523m/15241.jpg
156,8852,Emily Giffin,2004,Something Borrowed,"Something Borrowed (Darcy & Rachel, #1)",3.83,403601,https://images.gr-assets.com/books/1305063535m/42156.jpg
157,15241,"Dr. Seuss, לאה נאור",1960,Green Eggs and Ham,Green Eggs and Ham,4.29,457475,https://images.gr-assets.com/books/1468680100m/23772.jpg
158,42156,"Roald Dahl, Quentin Blake",1964,Charlie and the Chocolate Factory,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",4.1,453959,https://images.gr-assets.com/books/1309211401m/6310.jpg
159,23772,Rick Riordan,2008,The Battle of the Labyrinth,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",4.39,508214,https://images.gr-assets.com/books/1443142158m/2120932.jpg
160,6310,Charles Dickens,1860,Great Expectations,Great Expectations,3.75,459247,https://images.gr-assets.com/books/1327920219m/2623.jpg
161,2120932,J.R.R. Tolkien,1955,The Return of the King,"The Return of the King (The Lord of the Rings, #3)",4.51,463959,https://images.gr-assets.com/books/1389977161m/18512.jpg
162,2623,"Albert Camus, Matthew    Ward",1942,L’Étranger,The Stranger,3.96,420600,https://images.gr-assets.com/books/1349927872m/49552.jpg
163,18512,Rick Riordan,2010,The Lost Hero,"The Lost Hero (The Heroes of Olympus, #1)",4.35,271576,https://images.gr-assets.com/books/1464201003m/7736182.jpg
164,49552,Rainbow Rowell,2013,Eleanor & Park,Eleanor & Park,4.11,514312,https://images.gr-assets.com/books/1341952742m/15745753.jpg
165,7736182,George R.R. Martin,2005,A Feast for Crows,"A Feast for Crows (A Song of Ice and Fire, #4)",4.1,428186,https://images.gr-assets.com/books/1429538615m/13497.jpg
166,15745753,Ally Condie,2010,Matched,"Matched (Matched, #1)",3.68,511815,https://images.gr-assets.com/books/1367706191m/7735333.jpg
167,13497,Neil Gaiman,2001,American Gods,"American Gods (American Gods, #1)",4.11,378019,https://images.gr-assets.com/books/1258417001m/4407.jpg
168,7735333,"Stephen King, Bernie Wrightson",1978,The Stand,The Stand,4.34,438832,https://images.gr-assets.com/books/1213131305m/149267.jpg
169,4407,Nicholas Sparks,2008,The Last Song,The Last Song,4.14,424637,https://images.gr-assets.com/books/1286549186m/6400090.jpg
170,149267,Dan Brown,1998,Digital Fortress,Digital Fortress,3.6,423019,https://images.gr-assets.com/books/1360095966m/11125.jpg
